"city_code","wages_less0.25","wages_0.25to0.5","wages_0.5to1","wages_1to2","wages_2to3","wages_3to5","wages_5to10","wages_10to15","wages_15to20","wages_20to30","wages_30plus","wages_noWage","wages_avg"
1100601,3.74,5.59,22.16,15.97,5.04,3.82,2.09,0.28,0.09,0,0.13,41.11,0.9613625
1100700,4.05,5.39,20.48,13.03,3.21,1.85,1.1,0.09,0.09,0.01,0.08,50.63,0.6696375
1100809,1.97,2.64,22.86,17.87,5.31,3.66,1.57,0.14,0.17,0.06,0.04,43.71,0.925475
1100908,5.8,5.47,26.43,16.28,3.99,2.67,1.75,0.2,0.03,0.03,0.1,37.27,0.8829875
1100924,2.63,2.94,19.98,22.43,5.88,3.64,1.48,0.07,0.09,0.06,0.04,40.75,0.959
1100940,3.86,4.6,20.04,18.47,5.9,4.02,1.91,0.32,0.22,0.04,0.07,40.54,1.0153
1101005,5.89,6.23,23.42,12.42,3.56,2.69,1.35,0.1,0.06,0.01,0.07,44.2,0.7443875
1101104,6.31,4.43,22.02,18.2,4.84,3.34,1.32,0.12,0.04,0.04,0.04,39.29,0.8681375
1101203,5.31,4.75,21.47,15.34,4.89,2.79,1.32,0.08,0.13,0.04,0.06,43.82,0.8158125
1101302,6.27,7.15,27.7,13.87,3.3,2.94,1.21,0.08,0.11,0.09,0.07,37.2,0.8218875
1101401,3.92,4.9,22.59,18.57,4.45,2.64,1.37,0.15,0.17,0.08,0.03,41.13,0.87325
1101435,5.78,6.38,25.09,12,3.16,2.39,1.08,0.08,0.08,0.03,0.06,43.86,0.71165
1101450,4.6,4.63,21.76,14.4,5.37,2.58,1.2,0.08,0.13,0.05,0.08,45.12,0.8047625
1101468,5.13,4.16,21.15,17.22,5.67,4.26,1.62,0.27,0.16,0,0.11,40.26,0.97375
1101476,5.98,4.87,23.16,15.19,4.37,3.46,1.85,0.2,0.1,0.1,0.03,40.67,0.8976625
1101484,8.62,6.68,26.4,15.59,3.8,2.47,1.14,0.12,0.04,0.08,0.04,35.05,0.81175
1101492,4.79,5.14,23.69,14.86,4.19,3.01,1.58,0.17,0.14,0.02,0.02,42.38,0.832225
1101500,5.28,6.19,22.98,12.59,3.58,2.18,1.14,0.11,0.04,0.06,0.07,45.76,0.7165625
1101559,5.47,5.57,25.63,16.9,4.36,3.52,1.78,0.17,0.05,0.02,0.07,36.44,0.9195875
1101609,6.18,6.37,24.1,14.13,3.1,2.33,1.2,0.07,0.1,0.02,0.02,42.38,0.7299875
1101708,5.03,5.39,24.32,14.25,4.19,3.18,1.52,0.14,0.06,0.02,0.04,41.84,0.8198875
1101757,5.61,7.67,22.59,12.48,2.88,2.84,1.44,0.12,0.08,0.03,0.04,44.24,0.7415125
