"city_code","vac.dose1percapita_Coronavac","vac.dose1percapita_Covishield.AZ","vac.dose1percapita_Unknown","vac.dose2percapita_Coronavac","vac.dose2percapita_Covishield.AZ","vac.dose2percapita_Unknown","vac.dose1percapita_total","vac.dose2percapita_total"
3507001,0.0681035869390381,0.0194145086054367,0,0.0339713688274087,9.65095705324111e-05,0,0.0875180955444748,0.0340678783979411
3507100,0,0,0,0,0,0,0,0
3507159,0,0,0,0,0,0,0,0
3507209,0.127684964200477,0.0501193317422434,0,0.115751789976134,0,0,0.177804295942721,0.115751789976134
3507308,0.10784716516023,0.0254724732949877,0,0.0564913722267872,0,0,0.133319638455218,0.0564913722267872
3507407,0.188319722840881,0.0561123484286068,0,0.0970056916604801,0,0,0.244432071269488,0.0970056916604801
3507456,0.0704435333581811,0.0275810659709281,0,0.0357808423406634,0,0,0.0980245993291092,0.0357808423406634
3507506,0.120353743333558,0.0487679740768244,0,0.080031053804091,5.40066158104368e-05,0,0.169121717410383,0.0800850604199014
3507605,0.104073698345775,0.028850720974826,0,0.0599414776025755,5.27757091002914e-05,0,0.132924419320601,0.0599942533116757
3507704,0.105730708935725,0.0290890088834698,0,0.0973697962027521,0,0,0.134819717819195,0.0973697962027521
3507753,0.120110764970578,0.0346140533056421,0,0.0899965385946694,0,0,0.15472481827622,0.0899965385946694
3507803,0.0920995371286149,0.0253985836926851,0,0.0697076393559362,0,0,0.1174981208213,0.0697076393559362
3507902,0.0899496671537587,0.0233398278941387,0,0.0447312875466797,8.11820100665693e-05,0,0.113289495047897,0.0448124695567462
3508009,0.0684698221888305,0.016679188580015,0,0.0345604808414726,0,0,0.0851490107688455,0.0345604808414726
3508108,0.0995891441467508,0.0253457554539668,0,0.0681094844048377,0,0,0.124934899600718,0.0681094844048377
3508207,0.119849357554276,0.0301284891448826,0,0.0790872840053168,0,0,0.149977846699158,0.0790872840053168
3508306,0.110770681121848,0.01885458402074,0,0.0641055856705161,0,0,0.129625265142588,0.0641055856705161
3508405,0.0622459299212755,0.0103115270975034,0,0.0200678181205259,0,0,0.0725574570187789,0.0200678181205259
3508504,0.101864909806563,0.027668441768928,0,0.0623460817950283,0.00010524321707466,5.26216085373298e-05,0.129533351575491,0.0625039466206403
3508603,0.103898037580775,0.0275155593937048,0,0.0502069622703314,8.93362317977428e-05,0,0.13141359697448,0.0502962985021292
3508702,0.108843179546531,0.0236729970014204,0,0.0676521647640591,0,0,0.132516176547951,0.0676521647640591
3508801,0.110071176371686,0.0296474808047974,0,0.0624894916774085,5.60443871546265e-05,0,0.139718657176484,0.0625455360645631
3508900,0.146196041020749,0.0443596470307656,0,0.0789410922966849,0,0,0.190555688051514,0.0789410922966849
3509007,0.0705910970566772,0.0188956458282656,0,0.0408367793724155,7.78399416200438e-05,0,0.0894867428849428,0.0409146193140355
3509106,0.181802892700975,0.0284224688866465,0,0.0664312142616885,0,0,0.210225361587622,0.0664312142616885
3509205,0.0621166628172556,0.0121898016270177,0,0.0307952883208869,3.84941104011086e-05,0,0.0743064644442734,0.030833782431288
3509254,0.105355513441426,0.0223906787393837,0,0.0577314522355584,7.01902154839615e-05,0,0.12774619218081,0.0578016424510423
3509304,0.119667799169498,0.0322763306908267,0,0.0949414873537184,0,0,0.151944129860325,0.0949414873537184
3509403,0.102451407570189,0.0254991853900655,0,0.0596370249687417,0,0,0.127950592960255,0.0596370249687417
3509452,0,0,0,0,0,0,0,0
3509502,0.0980200891091719,0.0274931784028895,0,0.0704445242677493,0.00054951754501595,0,0.125513267512061,0.0709940418127653
3509601,0.0742684794426065,0.0127774985094867,0,0.0316924048117277,4.67612022305093e-05,0,0.0870459779520931,0.0317391660139582
3509700,0,0,0,0,0,0,0,0
3509809,0.174104462677607,0.0346207724634781,0,0.102461476886132,0.000200120072043226,0,0.208725235141085,0.102661596958175
3509908,0.100789410732796,0.0345267522526114,0,0.0699306275416633,0.000398692289291125,0,0.135316162985408,0.0703293198309545
3509957,0.0651421983089931,0.0163335895465027,0,0.0441967717140661,0,0,0.0814757878554958,0.0441967717140661
3510005,0.104191922414343,0.0244688317488675,0,0.084316978242838,0,0,0.128660754163211,0.084316978242838
3510104,0.178277956413005,0.0353697749196141,0,0.0714540907466952,0,0,0.213647731332619,0.0714540907466952
3510153,0.0633030990173847,0.014172335600907,0,0.0400604686318972,0,0,0.0774754346182918,0.0400604686318972
3510203,0.0818583131711872,0.0207563988284732,0,0.0413854577868331,2.12233116855554e-05,0,0.10261471199966,0.0414066810985186
3510302,0,0,0,0,0,0,0,0
3510401,0.0791429432944891,0.0246013586619131,0,0.0588517001011015,0,0,0.103744301956402,0.0588517001011015
3510500,0.0874794349577353,0.0191994424138294,0,0.055369603449254,2.4313350460738e-05,0,0.106678877371565,0.0553939167997147
