"city_code","workingHours_less14h","workingHours_15to39h","workingHours_40to44h","workingHours_45to48h","workingHours_49hplus","working_hours.avg"
1718907,2.67,28.68,55.77,7.63,5.25,37.66125
1719004,5.96,29.87,35.07,11.82,17.28,37.5922
1720002,4.03,37.15,53.68,3.24,1.9,35.5779
1720101,5.11,27.53,43.5,13.42,10.45,37.7793
1720150,1.3,6.51,90.28,0.57,1.33,40.77405
1720200,6.55,30.32,44.79,4.89,13.45,36.77955
1720259,6.42,11.7,54.31,20.6,6.98,39.8672
1720309,1.4,33.53,60.07,1.45,3.56,36.89715
1720499,18.01,14.04,54.12,2.4,11.43,35.7593
1720655,6.17,27.1,54.03,5.64,7.05,36.9505
1720804,6.5,34.18,49.28,6.49,3.55,35.59355
1720853,5.4,20.03,46.02,8.51,20.05,39.27415
1720903,15.31,17.51,45.64,9.2,12.34,36.3645
1720937,26.04,27.99,22.98,10.1,12.89,31.8671
1720978,25.19,20.67,26.15,17.19,10.79,33.37095
1721000,4.27,18.02,55.44,10.78,11.49,39.3908
1721109,12.11,26.6,48.29,4.83,8.17,35.40845
1721208,6.95,23.67,42.46,14.77,12.15,38.01865
1721257,0.73,20.2,66.95,3.37,8.75,39.52975
1721307,4.04,40.65,50.03,1.34,3.94,35.1074
1722081,3.93,21.69,56.17,8.11,10.1,38.71805
1722107,17.52,18.39,35.2,14.19,14.7,36.00345
2100055,8.91,17.81,33.12,18.5,21.67,39.1873
2100105,6.45,23.2,59.88,4.14,6.33,37.3434
2100154,5.5,40.49,36.33,4.77,12.92,35.50975
2100204,23.61,36.26,25.82,6.68,7.64,30.7898
2100303,10.94,24.02,33.18,13.33,18.53,37.23075
2100402,6.52,44.26,34.1,8.87,6.26,34.37695
2100436,13.72,27.15,29.64,11.7,17.78,35.8528
2100477,16.76,24.05,41.61,10.95,6.63,34.65655
2100501,10.54,26.21,32.31,19.47,11.47,36.79635
2100550,4.31,20.04,47.06,3.87,24.73,39.69665
2100600,7.77,27.42,39.04,10.65,15.12,37.24905
2100709,26.37,33.76,25.29,6.72,7.86,30.405
2100808,6.61,27.9,44.92,12.72,7.86,37.091
2100832,5.38,24.89,41.33,7.2,21.18,38.5583
2100873,25.51,29.14,36.94,3.13,5.29,31.00155
2100907,24.35,26.16,33.74,7.86,7.89,32.164
2100956,16.62,28.62,33.4,12.65,8.7,34.22745
2101004,13.57,30.05,24.64,12,19.74,35.6147
2101103,6.96,46.24,25.89,6.83,14.08,34.40815
2101202,9.14,21.88,44.18,9.04,15.75,37.6639
2101251,17.63,24.56,33.29,11.47,13.05,34.80925
2101301,13.72,27.22,20.21,14.89,23.96,36.42265
2101350,35.64,33.47,23.15,4.81,2.92,27.41695
2101400,4.67,18.68,43.54,15.61,17.5,39.81785
