"city_code","bolsa.familia_familiesPer100Khab","bolsa.familia_valuePerHab"
3201704,4417.19720191779,7.5203961329875
3201803,7156.13382899628,9.37732342007435
3201902,2638.10930576071,4.11477104874446
3202009,5956.43799081345,9.33441991406134
3202108,8101.0338960869,14.2141081010339
3202207,4170.34729648054,8.04737551722535
3202256,3296.8762294437,4.21850657014714
3202306,6003.17491171802,9.59516635889461
3202405,3739.41806357571,5.90467647506387
3202454,4781.07507093014,6.06893643125527
3202504,3710.23319176216,5.38905361006491
3202553,10541.1182360221,16.998087523906
3202603,2323.23232323232,3.12063492063492
3202652,8768.78223816999,10.1442027360395
3202702,6832.07734963742,11.0216834921086
3202801,6157.56375917084,10.1558169325725
3202900,3448.60255802937,4.66148744670772
3203007,4382.56575563252,5.88302870271939
3203056,7208.71476851396,13.0247071562162
3203106,5643.04461942257,10.1646981627297
3203130,2975.76193904488,3.77753779697624
3203163,6878.5968758564,10.2845528455285
3203205,3901.93310477946,6.10657716573997
3203304,7973.94136807818,13.0493811074919
3203320,6348.21683680096,10.0346242759552
3203346,2593.74625613993,3.72630885348029
3203353,2594.87259409335,3.71471986285358
3203403,8140.55748862463,12.1319160325775
3203502,10051.5053363776,18.6289491849413
3203601,10246.1984069515,18.6249094858798
3203700,5553.96507300315,8.58763240767249
3203809,7748.07430901676,15.2829956631497
3203908,5164.63779684694,8.52506485731391
3204005,5659.07522429262,8.48913043478261
3204054,6293.91995111518,11.1296593339444
3204104,7128.33216253189,13.2693089806633
3204203,3961.12569665147,5.44221823039013
3204252,12527.0253084065,26.221543939972
3204302,11439.4332123726,20.2755313634007
3204351,4811.66083276736,6.88062274698292
3204401,4112.88934778868,7.9784890724488
3204500,5366.49214659686,9.22374018324607
3204559,3027.37998070787,4.33644975390171
3204609,2441.71259008054,3.95527766002543
3204658,5938.87473952304,11.0288261171567
3204708,2635.25443381558,3.76517247740269
3204807,7284.95642288746,12.1837817355059
3204906,4831.90542909862,8.5118098781879
3204955,3560.20942408377,6.13701167942006
3205002,3886.88141291956,7.64414600684045
3205010,4589.29165281011,7.8595942800133
3205036,3354.82665171479,5.33894028595458
3205069,2183.80345768881,2.80302251058274
3205101,5405.23268446683,10.7482457597873
3205150,6266.29018245004,8.54897914856646
3205176,5838.06818181818,8.15901988636364
3205200,2060.39227438958,3.70905641121177
3205309,3510.93767692083,7.52970612846834
3300100,4509.65478322742,9.04561179674657
3300159,5042.94582872693,9.30793434815886
3300209,8425.22658610272,16.2773262839879
3300225,6753.10213172129,12.5486796054725
3300233,4614.70327723649,8.30525538824919
3300258,4283.50192757587,6.40472503212626
3300308,4177.37661147309,9.01854065793931
3300407,3382.10094787758,7.13644990564605
3300456,8957.42073884433,17.0104304901489
3300506,3264.59229031553,5.84671719011878
3300605,5466.89670045288,8.17349579469485
3300704,3989.84659529853,7.55773976382298
3300803,8225.73256188812,16.1444254033968
3300902,8152.20896485005,15.1389229280877
3300936,6478.13017606282,14.7271946506349
3300951,5268.07615932718,12.3996028501343
3301009,7675.33317045875,16.7067233049879
3301108,4565.73468173706,8.81390045607773
3301157,7650.31583872729,11.7530219137487
3301207,8684.837258534,16.0110611272823
3301306,3847.54662321202,7.73920423682781
3301405,7589.97761322542,14.8327880144653
3301504,3790.02097965885,6.77305482076074
3301603,4812.04316045945,8.69100243647755
3301702,5161.17947446487,8.67018125350697
3301801,6406.22768175975,14.1609770032852
3301850,8516.61516598642,19.1266586248492
3301876,6202.75521017308,10.3301306958672
3301900,7619.1228303518,15.722526102281
3302007,5870.58991572632,9.86111758470594
3302056,6220.81935950549,11.8273163674624
3302106,5306.87785142464,7.42515279332013
3302205,3165.93040378207,4.76018174068046
3302254,4590.47319603836,11.0789498506524
3302270,9195.55589492975,20.5985510843005
3302304,10305.9143439837,17.9583956492182
3302403,4200.69193367411,8.36780794165316
3302452,7840.68583675656,11.9532059296303
3302502,7062.03508371043,13.222523268767
3302601,3422.68597643249,7.24446793199604
3302700,3943.99746909253,6.58499320749099
3302809,5157.40840227786,10.6578919093156
3302858,6325.2755489685,12.7971073746614
3302908,6942.5953481087,13.98421959433
3303005,8979.17126665195,18.984544049459
3303104,6789.84135274532,11.8333877391134
3303203,4743.20706526756,7.87773025202326
3303302,2971.47107386523,5.73972514720085
3303401,2578.80407698643,4.62211812349513
3303500,7849.81147884374,16.6931050944554
3303609,8886.84769504564,18.1431961268347
3303708,3911.03082307779,6.3749802416168
3303807,4144.56156608363,7.40657940461022
3303856,6788.14505383701,12.0737152940329
3303906,3155.54670124204,6.31377800131291
3303955,6368.2620448402,14.4172364445858
3304003,6011.54489872596,13.7145882433309
3304102,5693.21377407545,10.2577598556799
3304110,6807.90529898898,15.6219580348524
3304128,4817.50804083345,10.3739337155643
3304144,7575.22335832463,14.7130768565517
3304151,6789.47368421053,14.2633198380567
3304201,2285.65337556437,4.42289155709184
3304300,8670.9523097623,17.9359977409013
3304409,4986.77748394409,8.96999298397107
3304508,5827.22964239552,12.1975441619991
3304524,4446.68622323692,8.36188725327528
3304557,3427.30055784404,6.02778444635977
3304607,4796.23221837755,9.00528642829681
3304706,3747.7341745333,5.44921019798018
3304755,11560.2416775264,19.5893140623149
3304805,8257.26033773824,15.5038920065168
3304904,5043.51336926493,8.85908600262343
3305000,10002.215943715,20.0465071187192
3305109,3237.04610017654,5.84671236182436
3305133,7725.56128852322,12.2823873936689
3305158,4822.20692819454,8.27189722413398
3305208,4729.31582372985,9.60581377541254
3305307,6893.23501122154,11.1504755797798
3305406,5535.43998244459,9.11334211103796
3305505,3636.87338791073,5.64050689693843
3305554,10110.3119836719,19.5847264068423
3305604,9603.19647285754,17.6957839625241
3305703,9441.20847468476,14.796325929719
3305752,9283.27844005946,18.9448832667813
3305802,2992.97895878287,5.35418469391108
3305901,7538.11405985319,13.0160926030491
3306008,6219.74475575767,13.3533079067038
3306107,6211.20447447173,12.6782666649243
3306156,9500,15.7
3306206,4057.35039028621,6.84667714657415
3306305,4084.43584897367,9.1304631298258
3500105,747.119881373332,0.945163681989278
3500204,3930.37619314992,7.74733295901179
3500303,3247.48657209751,5.5186888858284
3500402,1589.24205378973,2.75513447432763
3500501,1368.61801657311,2.128361400695
3500550,6353.90946502058,11.3246090534979
3500600,1014.19878296146,1.78209214720371
3500709,2276.02515182458,3.73668511850379
3500758,2489.6265560166,2.97692946058091
3500808,3984.63754200672,7.10105616898704
3500907,3197.11538461538,4.478125
3501004,4646.5645081562,11.0551161641127
3501103,3757.01390583069,8.17174920712369
3501152,2893.49366544986,5.08406699592012
3501202,2364.77303615113,4.0872519706442
3501301,4880.59401966687,8.72558699578567
3501400,4668.06963841592,11.3700019131433
3501509,4469.27374301676,6.51986343885785
3501608,1529.23450627512,3.04477518499814
3501707,1587.49753110804,2.82177068931464
3501806,3099.34662422516,4.23873345619032
3501905,1180.13712861001,1.93081238312903
3502002,3503.5035035035,8.34414414414414
3502101,3280.43809157234,6.27261752716203
3502200,3159.18820358332,4.50150626288251
3502309,5859.60737656157,10.9064544913742
3502408,3377.8857837181,5.6228432563791
3502507,1806.01266698011,2.48341953148768
3502606,6363.20305052431,12.6842230695901
3502705,7840.32165422171,13.71559858866
3502754,4359.6852083706,8.23743516365588
3502804,1962.27717545783,3.26780566045397
3502903,2726.52726527265,4.80606806068061
3503000,3362.98932384342,6.13078291814947
3503109,3822.55781028787,7.33474909548529
3503158,6075.33414337789,13.0668286755772
3503208,1727.86268596022,2.74824206174387
3503307,3910.27742185405,7.42493071903215
3503356,7537.68844221105,16.7241764377443
3503406,2850.46728971963,5.15432242990654
3503505,8028.82141019043,15.589552238806
3503604,3207.8353850301,5.06056249438404
3503703,1799.75175837815,2.41735622672735
3503802,1828.77518012057,2.7292493750919
3503901,4011.17741360884,6.44666236195226
3503950,3622.39297475302,7.33479692645445
3504008,2074.03291629146,3.16102734083115
3504107,1777.79645701557,2.96205546332682
3504206,869.049970373297,1.2309566133386
3504305,5737.55321117897,10.3035350731075
3504404,6418.05260458642,11.261337826947
3504503,2601.06999062379,4.48972478076223
3504602,1302.70826191292,2.07981944920581
3504701,1743.679163034,4.08055797733217
3504800,1665.19629466255,2.34009704455227
3504909,5143.90132480585,7.8125171311101
3505005,7783.22283078697,13.0694724704526
3505104,5214.80680897055,11.0491758984058
3505203,1982.19147005445,4.15797980943739
3505302,2856.66832752035,5.50794441676355
3505351,12281.6212438854,23.1767994409504
3505401,8904.55673064369,14.8293510902207
3505500,2374.32226572098,4.65155039394585
3505609,5269.41362916006,11.7194928684628
3505708,3192.76976606779,5.33411383679454
3505807,1350.64191285257,1.73641006061185
3505906,2964.42055416907,5.92650540730786
3506003,2567.28712534964,4.50456984538955
3506102,2824.66191803448,5.14492360896046
3506201,3993.28859060403,8.38422818791946
3506300,5005.382131324,11.0966092572659
3506359,4860.15589179276,9.20057234106468
3506409,2352.50186706497,4.20699527010207
3506508,1553.72943593394,2.6092463482101
3506607,5432.84864102092,9.46950733173814
3506706,5561.88433961,11.9825772297795
3506805,2506.2859923757,4.58634114688945
3506904,3759.59079283887,7.40835464620631
3507001,2659.14717117235,4.11526796399823
3507100,4680.13203395159,8.95190191763596
3507159,9509.35761254426,14.0902883156297
3507209,6332.13859020311,8.60812425328554
3507308,5598.17540949616,13.2566867095169
3507407,2486.60102206157,4.34637915991524
3507456,5201.65849981153,9.06784771956276
3507506,2147.48424882421,3.60986914407804
3507605,2173.5006047383,3.12340218654398
3507704,6225.8177981006,13.9029194512839
3507753,6806.28272251309,11.6223385689354
3507803,2193.35177833915,3.41104294478528
3507902,1266.23775765275,1.90349547186821
