"city_code","pop.urban","pop.rural"
2310100,41.29,58.71
2310209,63.39,36.61
2310258,44.72,55.28
2310308,45.05,54.95
2310407,48.99,51.01
2310506,58.51,41.49
2310605,77.79,22.21
2310704,60.44,39.56
2310803,34.48,65.52
2310852,60.38,39.62
2310902,48.1,51.9
2310951,32.83,67.17
2311009,64.98,35.02
2311108,41.09,58.91
2311207,55.61,44.39
2311231,44.12,55.88
2311264,31.65,68.35
2311306,71.32,28.68
2311355,32.86,67.14
2311405,60.41,39.59
2311504,61.46,38.54
2311603,57.29,42.71
2311702,54.43,45.57
2311801,64.37,35.63
2311900,53.68,46.32
2311959,40.53,59.47
2312007,51.33,48.67
2312106,51.38,48.62
2312205,52.05,47.95
2312304,55.58,44.42
2312403,65.02,34.98
2312502,40.11,59.89
2312601,64.56,35.44
2312700,59.34,40.66
2312809,73.96,26.04
2312908,88.35,11.65
2313005,51.55,48.45
2313104,64.4,35.6
2313203,55.8,44.2
2313252,29.45,70.55
2313302,57.9,42.1
2313351,37.65,62.35
2313401,66.51,33.49
2313500,36.53,63.47
2313559,36.7,63.3
2313609,48.29,51.71
2313708,51.93,48.07
2313757,58.99,41.01
2313807,74.32,25.68
2313906,59.54,40.46
2313955,81.94,18.06
2314003,62.17,37.83
2314102,32.44,67.56
2400109,80.67,19.33
2400208,73.95,26.05
2400307,53.11,46.89
2400406,64.03,35.97
2400505,68.03,31.97
2400604,71.42,28.58
2400703,72.11,27.89
2400802,87.32,12.68
2400901,54.79,45.22
2401008,50.43,49.57
2401107,80.26,19.74
2401206,62.43,37.57
2401305,53.85,46.15
2401404,83.14,16.86
2401453,62.9,37.1
2401503,44.46,55.54
2401602,40.43,59.57
2401651,57.44,42.56
2401701,71.69,28.31
2401800,77.09,22.91
2401859,97.97,2.03
2401909,76.36,23.64
2402006,91.63,8.37
2402105,50.62,49.38
2402204,65.45,34.55
2402303,70,30
2402402,81.14,18.86
2402501,48.73,51.27
2402600,52.09,47.91
2402709,43.44,56.56
2402808,42.05,57.95
2402907,37.24,62.76
2403004,81.85,18.15
2403103,88.57,11.43
2403202,42.87,57.13
2403251,100,0
2403301,40.72,59.28
2403400,82.62,17.38
2403509,47.73,52.27
2403608,64.18,35.82
2403707,67.58,32.42
2403756,85.39,14.61
2403806,76.54,23.46
2403905,57.31,42.69
2404002,66.43,33.57
2404101,57.21,42.79
2404200,68.84,31.16
2404309,55,45
