"city_code","pop.edu.kindergarten","pop.edu.pre","pop.edu.literacy","pop.edu.literacy_adults","pop.edu.elem","pop.edu.elem_adults","pop.edu.high","pop.edu.high_adults","pop.edu.undergrad","pop.edu.grad","pop.edu.master","pop.edu.doc","pop.edu.public","pop.edu.private"
1400605,2.8,6.99,6.74,0.93,49.24,5.31,13.53,2.67,11.13,0.36,0.3,0,96.56,3.44
1400704,2.08,16.47,10.81,1.47,51.91,0.26,13.23,1.73,1.64,0.38,0,0,98.78,1.22
1500107,0.43,10.31,3.4,1.65,57.55,3.97,15.32,2.27,4.57,0.48,0.04,0,89.83,10.17
1500131,4.11,11.54,4.15,2.59,55.71,5.33,10.36,2.57,3.2,0.32,0.12,0,97.45,2.55
1500206,3.2,10.03,14.28,3,54.3,3.13,9.32,0.99,1.42,0.32,0,0,98.32,1.68
1500305,2.56,8.56,5.79,5.39,64.26,0.67,7.82,0.21,4.36,0.39,0,0,95.99,4.01
1500347,6,7.37,8.8,4.36,49.87,3.59,18.28,0.61,0.5,0.62,0,0,98.26,1.74
1500404,1.95,12.31,6.29,1.1,59.13,3.42,11.06,1.7,2.86,0.17,0,0,96.17,3.83
1500503,1.85,9.55,3.58,1.03,61.87,3.59,12.58,2.4,2.8,0.68,0.07,0,85.63,14.37
1500602,2.6,9.76,4.5,1.46,52.47,3.71,15.36,3.12,6.05,0.72,0.24,0,86.7,13.3
1500701,2.26,6.26,5.15,0.74,72.5,2.06,7.4,1.43,1.96,0.23,0,0,98.11,1.89
1500800,1.76,9.03,4.2,0.47,49.76,4.16,16.33,3.87,9.51,0.59,0.3,0.02,70.57,29.43
1500859,1.04,7.86,3.18,2.03,66.98,5.27,7.79,0.83,4.73,0.29,0,0,94.83,5.17
1500909,1.82,10.93,8.69,2.63,59.01,4.01,10.82,1.16,0.93,0,0,0,97.06,2.94
1500958,0.69,9.44,6.21,2.31,63.44,3.32,10.33,2.24,2.03,0,0,0,97.5,2.5
1501006,0.82,3.84,11.51,0.36,63.58,2.62,14.26,2.07,0.94,0,0,0,98.28,1.72
1501105,3.78,6.35,5.03,0.88,68.37,3.38,9.14,0.18,2.9,0,0,0,97.94,2.06
1501204,2.62,11.1,6.79,3.27,53.56,4.11,12.22,2.14,3.79,0.37,0.04,0,96.29,3.71
1501253,2.35,8.62,1.66,0.46,64.04,5.36,8.4,2.99,5.75,0.37,0,0,94.92,5.08
1501303,2.83,8.19,4.45,0.3,57.42,3.67,15.73,3.2,3.69,0.41,0.12,0,86.68,13.32
1501402,2.19,8.73,3.97,0.58,45.37,3.61,17.16,3.38,12.98,1.33,0.48,0.21,65.83,34.17
1501451,3.71,5.47,4.9,0.6,61.27,6.68,10.19,3.03,3.99,0.1,0.07,0,96.69,3.31
1501501,1.16,8.66,4.07,0.45,55.87,4.94,14.67,4.35,5.4,0.44,0,0,87.99,12.01
1501576,4.73,6.79,10.63,3.45,53.11,3.69,11.89,1.71,3.39,0.6,0,0,96.08,3.92
1501600,4.7,8.55,4.87,1.05,62.38,3.03,10.09,2,3.06,0.15,0.13,0,96.55,3.45
1501709,1.08,7.55,4.39,0.88,61.65,4.74,12.89,2.5,3.82,0.35,0.08,0.06,94.79,5.21
1501725,8.22,5.12,3.97,0.7,58.63,3.32,14.64,1.32,3.21,0.87,0,0,96.98,3.02
1501758,4.25,12.53,5.86,0.46,54.72,3.54,13.82,0.83,3.7,0.29,0,0,97.62,2.38
1501782,0.77,12.53,2.92,0.67,64.59,4.84,8.48,2.99,2.01,0.19,0,0,96.73,3.27
1501808,0.62,6.94,4.88,1.88,68.94,3.4,8.58,1.08,3.44,0.18,0.05,0,96.4,3.6
1501907,2.29,11.16,3.74,0.79,60.7,3.33,14.25,2.07,1.42,0.25,0,0,98.36,1.64
1501956,3.66,11.9,3.13,1.87,68.47,3.52,5.56,1.03,0.81,0.06,0,0,99.59,0.41
1502004,7.05,8.5,5.02,0.51,58.93,3.1,13.27,1.48,2.01,0.14,0,0,97.12,2.88
1502103,2.2,10.23,3.94,0.76,61.93,2.22,12.77,1.97,3.76,0.19,0.04,0,93.78,6.22
1502152,2.77,7.52,4.75,7,51.89,5.5,13.84,1.87,4.26,0.41,0.19,0,83.76,16.24
1502202,3.51,9.83,2.46,0.67,58.66,3.07,16,1.98,3.53,0.21,0.06,0.03,85.94,14.06
1502301,2.33,8.4,3.63,1.44,64.02,4.75,10.35,1.98,2.87,0.23,0,0,95.83,4.17
1502400,1.5,6.6,5.12,0.49,53.71,5.76,15.71,4.1,6.23,0.6,0.13,0.04,78.59,21.41
1502509,1.38,9.2,7.24,3.08,67.69,1.99,7.88,1.06,0.48,0,0,0,99.2,0.8
1502608,2.3,13.54,2.36,0.45,60.37,1.23,15.12,2.72,1.71,0.2,0,0,99.17,0.83
1502707,1.01,7.33,5.92,1.98,54.85,3.39,14.57,2.88,7.26,0.75,0.07,0,84.21,15.79
1502756,4.94,12.55,5.85,1.36,54.08,5.54,10.12,2.02,3.31,0.23,0,0,95.13,4.87
1502764,4.79,6.83,7.61,1.22,63.68,3.79,7.3,2.8,1.62,0.36,0,0,96.01,3.99
1502772,5.58,7.97,3.65,0.9,54.78,5.5,16.13,1.89,2.84,0.71,0.06,0,94.6,5.4
1502806,3.32,3.6,5.35,0.51,72.95,1.99,6.69,0.7,4.06,0.83,0,0,95.31,4.69
1502855,4.54,14.36,5.37,1.31,55.64,2.45,11.87,1.64,2.66,0.15,0,0,98.13,1.87
1502905,0.98,10.67,5.25,0.4,62.34,2.84,14,1.88,1.45,0.1,0.09,0,96.73,3.27
1502939,3.34,8.63,4.67,1.71,57.81,4.7,12.92,2.96,2.55,0.6,0.1,0,91.21,8.79
