"city_code","metro_class"
1200138,"non-metro/urban"
1200179,"non-metro/urban"
1200203,"non-metro/urban"
1200252,"non-metro/urban"
1200302,"non-metro/urban"
1200328,"non-metro/urban"
1200336,"non-metro/urban"
1200344,"non-metro/urban"
1200351,"non-metro/urban"
1200385,"non-metro/urban"
1200393,"non-metro/urban"
1200401,"non-metro/urban"
1200427,"non-metro/urban"
1200435,"non-metro/urban"
1200450,"non-metro/urban"
1200500,"non-metro/urban"
1200609,"non-metro/urban"
1200708,"non-metro/urban"
1200807,"non-metro/urban"
1300029,"non-metro/urban"
1300060,"non-metro/urban"
1300086,"non-metro/urban"
1300102,"non-metro/urban"
1300144,"non-metro/urban"
1300201,"non-metro/urban"
1300409,"non-metro/urban"
1300508,"non-metro/urban"
1300607,"non-metro/urban"
1300631,"non-metro/urban"
1300680,"non-metro/urban"
1300706,"non-metro/urban"
