"city_code","pop.1rooms","pop.2rooms","pop.3rooms","pop.4rooms","pop.5rooms","pop.6rooms","pop.7rooms","pop.8rooms","pop.9rooms","pop.10plusrooms","pop.room.avg"
2101970,3.12,7.81,13.02,27.28,24.09,12.42,6.02,3.72,1.28,1.22,4.5751
2102002,1.01,3.01,9.77,29.27,24.88,17.76,7.37,3.69,1.21,2.04,4.9678
2102036,1.67,3.07,8.01,40.56,23.81,12.56,5.16,3.11,1.41,0.64,4.6858
2102077,0.05,2.86,4.05,24.13,26.92,26.41,7.62,5.57,1.05,1.34,5.2825
2102101,0.38,2.22,6.31,16.6,21.05,29.8,13.07,4.76,2.87,2.94,5.59
2102150,0,0.88,4,22.77,18.99,29.74,11.99,6.3,2.55,2.77,5.6321
2102200,1.12,3.79,13.22,19.98,18.84,23.14,11.93,5.16,1.87,0.93,5.1224
2102309,1.04,1.73,5.17,17.56,24.12,21.57,12.69,8.84,3.56,3.73,5.6916
2102325,0.89,3.02,7.38,33.72,22.5,19.94,5.52,4.27,1.36,1.42,4.9533
2102358,0.69,2.12,7.87,22.27,23.3,20.59,12.2,5.08,3.68,2.2,5.3882
2102374,1.22,5.1,14.5,37.74,15.69,14.5,7.19,1.29,0.98,1.8,4.588
2102408,0.52,2.53,16.29,37.97,19.95,11.03,7.31,2.49,1.14,0.77,4.6131
2102507,0.44,1.77,21.86,42.14,16.37,10.85,3.83,1.72,0.54,0.48,4.353
2102556,2.67,4.84,9.91,21.77,24.55,17.44,10.68,4.64,1.88,1.63,5.0165
2102606,2.58,5.14,12.51,32.21,16.72,12.52,7.74,6.55,1.76,2.26,4.8297
2102705,0.39,2.62,10.68,31.28,28.31,14.09,5.64,3.28,2.06,1.65,4.8964
2102754,0,1.66,7.73,26.28,25.73,19,11.23,4.57,2.08,1.72,5.2537
2102804,0,3.64,7.71,16.88,25.11,17.86,11.47,8.36,3.8,5.16,5.6361
2102903,4.46,10.77,18.03,24.57,16.6,12.51,7.14,1.69,1.73,2.51,4.406
2103000,0.73,2.22,9.03,19.53,29.03,16.97,10.22,5.87,3.05,3.34,5.367
2103109,0.41,2.04,7.38,22.8,24.35,24.86,8.87,4.95,2.32,2.02,5.3151
2103125,0.05,1.79,6.16,31.95,28.48,15.77,9.75,4.17,1.17,0.71,5.0617
2103158,0.48,3.48,9.59,34.83,21.05,18.57,6.13,2.28,1.52,2.07,4.8773
2103174,1.8,6.12,10.85,38.01,19.61,14.52,5,2.59,0.7,0.82,4.5402
2103208,0.29,1.76,10.71,20.04,24.71,19.52,11.77,5.87,2.73,2.6,5.3669
2103257,0.8,3.8,6.51,21.11,26.9,19.72,10.3,5.48,3.96,1.42,5.3097
2103307,0.55,1.9,11.58,25.47,23.61,16.82,9.9,5.82,2.11,2.24,5.1719
2103406,0.38,1.76,9.65,18.99,27.85,19.71,10.69,6.58,2.39,1.99,5.352
2103505,1.05,1.96,10.25,22.46,24.03,20.44,10.09,4.65,2.48,2.6,5.245
2103554,0.12,4.26,20.17,36.64,16.81,13.25,3.86,2.7,1.45,0.73,4.4823
2103604,0.6,1.6,12.36,25,24.51,18.9,9.28,3.69,2.48,1.59,5.0953
2103703,0.57,2.78,8.46,27.99,21.95,19.62,9.21,5.5,2.95,0.97,5.1566
2103752,1.42,2.97,7.47,20.32,28.05,17.82,12.6,5.9,2.5,0.95,5.2562
2103802,0.32,2.74,9.62,20.75,28.48,20.58,10.34,3.07,1.78,2.31,5.196
2103901,0.21,2.46,10.51,19.24,35.51,17.22,6.61,5.69,1.08,1.47,5.107
2104008,0.34,0.98,7.16,20.7,23.01,25.07,11.36,6.64,2.3,2.46,5.4999
2104057,2.6,6.7,10.58,16.82,22.73,20.8,9.02,5.73,2.12,2.91,5.1063
