"city_code","employed","employed.privateFormal","employed.publicFormal","employed.informal","employed.noWage","employed.subsistence","employed.owner","employed.self"
1506161,65.32,25.93,6.11,33.28,1.7,6.03,2.19,24.76
1506187,62.63,21.45,5.6,35.59,2.14,11.01,1.35,22.86
1506195,39.43,6.8,8.9,23.72,3.67,11.1,1.18,44.62
1506203,67.13,12.74,4.18,50.22,3.97,3.17,0.73,25
1506302,49.34,5.72,5.14,38.48,3.24,8.44,0.57,38.4
1506351,59.35,26.77,5.93,26.64,1.57,7.64,0.54,30.91
1506401,32.37,6.26,4.78,21.33,1.37,30.48,0.11,35.67
1506500,62.24,32.5,5.54,24.2,2.15,2.59,1.28,31.74
1506559,49.68,9.6,2.21,37.86,5.42,12.96,0.25,31.69
1506583,52.42,13.48,4.09,34.84,0.99,15.93,0.96,29.69
1506609,51.46,10.59,3.93,36.94,0.81,5.65,0.54,41.55
1506708,65.83,31.7,6.35,27.77,3.65,6.79,1.03,22.7
1506807,53.02,24.59,4.99,23.44,2.77,9.12,1.43,33.67
1506906,56.11,6.56,11.18,38.37,0.62,13.39,0,29.88
1507003,50.03,16.78,6,27.25,4.76,7.67,0.88,36.67
1507102,37.05,6.26,7.47,23.33,2.51,9.44,0.29,50.71
1507151,54.95,8.28,7.61,39.06,0.73,10.2,0.31,33.81
1507201,25.61,3.78,7.28,14.56,3.83,32.22,0.37,37.97
1507300,51.32,22.32,2.11,26.9,4.29,12.51,2.28,29.6
1507409,45.49,13.25,3.7,28.54,2.1,6.07,0.15,46.18
1507458,60.08,15.22,6.28,38.59,2.93,8.26,0.67,28.06
1507466,33.34,7.3,7.49,18.55,2.94,20.61,0,43.1
1507474,45.17,7.02,5.9,32.25,3.07,17.78,0,33.98
1507508,36.73,7.92,6.9,21.92,6.79,21.36,0.15,34.97
1507607,51.23,17.62,6.19,27.42,4.03,6.43,0.31,38.01
1507706,33.93,2.68,3.72,27.53,4.93,8.54,0.54,52.06
1507755,73.56,33.46,13.52,26.58,0.45,1.19,2.18,22.62
1507805,42.15,4.2,5.85,32.1,3.09,16.96,0.79,37.01
1507904,57.03,13.89,8.25,34.89,1.68,5.89,1.12,34.29
1507953,71.31,31.7,1.73,37.88,1.2,3.33,0.9,23.26
1507961,44.66,10.92,10.21,23.53,9.27,18,0.36,27.71
1507979,50.4,16.2,3.22,30.97,3.53,11.36,1.68,33.04
1508001,62.32,21.13,5.37,35.82,3.58,8.58,0.96,24.56
1508035,30.07,4.48,2.85,22.74,5.64,31.07,0.88,32.34
1508050,49.36,8.13,4.91,36.33,4.71,14.88,0.67,30.38
1508084,59.92,24.58,3.45,31.88,4.2,6.36,0.65,28.87
1508100,69.33,32.42,9.98,26.93,0.79,2.72,1.07,26.09
1508126,81.84,48.44,6.21,27.18,1.04,4.99,0.62,11.51
1508159,50.81,14.68,5.02,31.11,1.89,15.22,1.13,30.95
1508209,55.82,12.46,7.29,36.07,2.36,3.58,0.6,37.65
1508308,34.51,5.08,6.93,22.5,4.67,23,0.78,37.04
1508357,41.99,8.18,4.24,29.57,5.61,16.92,0.39,35.09
1508407,68.56,30.63,5.02,32.9,3.18,2.32,1.94,24
1600055,73.65,30.87,14.05,28.73,0.96,5.86,1.81,17.72
1600105,53.94,15.61,7.49,30.84,3.29,11.16,1.33,30.28
1600154,51.94,25.32,8.54,18.09,3.03,19.95,0.65,24.43
1600204,53.57,18.72,7.25,27.59,2.8,16.88,1.33,25.42
1600212,57.72,12.68,16.82,28.22,6.72,15.63,0.3,19.63
1600238,67.24,20.68,16.18,30.38,3.74,10.71,0.16,18.16
1600253,39.7,16.28,5.42,18,0.53,14.44,1.44,43.9
1600279,71.5,34.82,9.1,27.58,1.45,4.32,1.02,21.71
1600303,72.38,36.35,13.1,22.93,1.7,1.42,1.34,23.17
1600402,39.26,10.72,7.09,21.45,5.11,13.41,0.36,41.85
1600501,46.43,17.23,7.3,21.9,1.02,13.3,0.95,38.31
1600535,54.04,21.32,9.58,23.14,0.77,14.26,0.34,30.59
1600550,41.28,6.3,18.86,16.13,0.49,36.16,0.96,21.11
1600600,71.57,33.84,10.21,27.52,2.9,2.43,1.07,22.02
1600709,46.55,12.18,1.5,32.86,4.91,22.28,0.38,25.89
1600808,69.35,26.92,12.94,29.49,4.76,5.87,0.8,19.21
1700251,55.74,7.29,13.05,35.4,4.3,7.47,2.62,29.86
1700301,76.1,38.84,9.87,27.38,0.61,7.53,0,15.77
1700350,72.47,27.91,11.33,33.23,2.39,2.79,0.8,21.54
1700400,68.24,18.73,11.97,37.54,0.68,12.81,1.16,17.11
1700707,74.09,34.78,11.23,28.08,1.95,3.05,1.27,19.64
1701002,70.85,23.3,15.27,32.28,2.44,6.51,0.74,19.46
1701051,64.43,14.26,24.87,25.3,1.58,18.97,1.77,13.25
1701101,61.57,16.48,12.98,32.11,1.91,15.1,0.21,21.22
1701309,43.78,8.19,9.85,25.73,5.75,9.24,0,41.23
1701903,63.96,11.27,13.27,39.42,7.86,13.2,1.26,13.72
1702000,72.85,20.83,15.27,36.74,1.53,8.11,2.47,15.04
1702109,72.93,39.39,9.4,24.14,1.74,1.63,2.33,21.37
1702158,61.68,23.23,9.45,29,9.89,3.49,0.52,24.42
1702208,56.74,15.42,12.07,29.25,3.31,14.75,1.55,23.65
1702307,68.19,21.09,11.67,35.43,1.57,6.35,1.28,22.61
1702406,69.35,14.67,23.54,31.15,2.64,10.89,1.21,15.91
1702554,60.24,16.58,10.03,33.62,2.95,9.32,0.37,27.13
1702703,66.27,7.17,17.44,41.66,1.01,18.99,0.52,13.2
1702901,57.99,16.29,11.17,30.54,2.21,8.97,0.59,30.24
1703008,56.42,19.55,8.11,28.76,0,14.37,0.46,28.75
1703057,78.43,26.52,10.55,41.37,0,6.02,0.26,15.28
1703073,62.43,16.37,17.34,28.71,1.77,18.2,0,17.6
1703107,69.33,26.03,11.27,32.03,1.69,4.86,0.37,23.75
1703206,54.57,15.59,12.78,26.2,4.83,4.26,0,36.34
1703305,61.13,20.11,12.47,28.55,1.52,16.46,0.3,20.59
1703602,75.24,17.68,23.5,34.07,2.52,2.37,2.15,17.73
1703701,66.68,21.36,17.4,27.92,2.36,7.24,1.48,22.24
1703800,66.31,13.16,16.39,36.76,0.45,10.52,2.96,19.76
1703826,54.53,6.04,26.98,21.52,1.41,35.45,0.79,7.81
1703842,57.42,18.35,8.03,31.04,5.74,20.35,0.83,15.67
1703867,63.18,23.29,5.46,34.43,1.12,8.22,0.93,26.56
1703883,75.19,26.63,26.97,21.58,0,2.84,0.16,21.82
1703891,54.1,5.5,19.29,29.31,1.83,27.32,0,16.75
1703909,50.42,13.17,15.8,21.45,0.52,9.8,3.78,35.48
1704105,61.28,6.46,27.39,27.43,2.73,17.84,0.64,17.5
1704600,52.52,10.23,22.94,19.35,2.57,26.86,0.33,17.73
1705102,66.17,20.6,8.38,37.19,0,12.61,1.06,20.16
1705508,73.31,28.86,7.85,36.6,0.95,2.2,1.55,21.99
1705557,61.47,11.48,15.33,34.65,2.75,4.93,1.64,29.21
1705607,61.92,10.6,10.62,40.7,0.33,14.89,1.1,21.76
1706001,54.42,10.4,10.12,33.89,5.55,23.19,0.48,16.36
1706100,68.29,18.57,14.89,34.83,0.73,7.07,0.88,23.03
1706258,82.45,20.82,4.79,56.84,0.27,11.77,0,5.51
1706506,60.71,17.31,6.18,37.22,2.63,8.02,0,28.64
1707009,71.55,28.23,16.55,26.77,2.17,8,1.32,16.95
1707108,62.27,11.4,13.75,37.12,0.39,14.51,1.17,21.66
1707207,46.41,8.66,8.84,28.91,3.79,30.66,0.49,18.65
1707306,75.92,25.27,10.91,39.73,1.29,4.23,0.7,17.86
1707405,41.71,9.73,7.58,24.4,0,21.77,0.34,36.19
1707553,78.08,27.52,17.68,32.88,0,1.23,0.15,20.54
1707652,59.63,20.7,14.61,24.31,1.41,14.43,1.77,22.76
1707702,61.28,20.08,15.61,25.59,1.47,19.01,0.49,17.76
1708205,69.7,26.96,10.37,32.37,4.05,5.35,0.54,20.35
1708254,79.44,28.76,22.38,28.3,0.95,5.55,0.23,13.83
1708304,49.29,5,13.73,30.57,2.94,16.05,0.29,31.43
1709005,44.57,7.1,15.76,21.7,5.21,28.91,0.12,21.18
1709302,66.85,28.99,11.48,26.38,1.24,4.23,3.06,24.62
1709500,73.06,37.64,11.67,23.75,1.26,1.58,2.33,21.76
1709807,74.84,18.84,30.69,25.31,4.63,9.55,0.4,10.58
1710508,65.46,8.9,9.22,47.34,1.56,9.91,0.43,22.64
1710706,52.89,7.23,15.28,30.37,5.95,9.61,0.62,30.94
1710904,46.67,6.3,7.57,32.8,7.19,23.67,1.38,21.09
1711100,66.08,18.18,11.86,36.04,6.94,10.35,0.21,16.42
1711506,54.94,15.49,12.4,27.05,0.99,28.22,1.45,14.4
1711803,44.98,4.12,1.62,39.25,0,31.99,0.46,22.57
1711902,73.74,20.56,7.93,45.25,1.06,4.91,1.04,19.25
1711951,43.6,4.58,15.46,23.55,14.02,22.36,0.56,19.47
1712009,68.56,25.24,23.58,19.74,1.76,10.51,0,19.18
1712157,57.28,4.94,9.88,42.46,6.73,21.76,0,14.23
1712405,36.76,3.55,10.47,22.75,2.34,43.15,3.09,14.65
1712454,60.17,15.28,8.78,36.1,2.34,17.18,0.99,19.31
1712504,63.6,14.25,14.77,34.57,2.4,10.29,1.86,21.85
1712702,56.49,9.17,17.72,29.61,0.5,8.81,1.04,33.16
