"city_code","pop.white","pop.black","pop.asian","pop.pardos","pop.indigenous","pop.others"
5002100,51.36,1.82,0.12,44.78,1.93,0
5002159,35.32,8.02,0.92,52.79,2.95,0
5002209,43.46,3.57,0.75,51.53,0.69,0
5002308,49.97,4.91,0.43,44.05,0.63,0
5002407,44.96,3.65,0.31,33.92,17.15,0
5002605,41.35,4.3,0.49,53.53,0.33,0
5002704,50,5.26,1.67,42.39,0.67,0.01
5002803,48.23,7.58,0.06,44.04,0.09,0
5002902,55.63,5.73,0.78,37.76,0.1,0
5002951,53.28,4.09,1.12,41.16,0.35,0
5003108,37.14,11.28,0.63,50.83,0.12,0
5003157,38.13,3.41,0.41,38.59,19.45,0
5003207,27.96,7.1,1.21,63.34,0.38,0
5003256,49.95,5.17,1.26,43.46,0.16,0
5003306,36.25,6.21,1.27,55.72,0.54,0
5003454,46.34,3.45,0.87,49.34,0,0
5003488,32.18,3.25,0.71,45.44,18.43,0
5003504,47.24,2.1,0.97,31.92,17.78,0
5003702,56.06,4.21,1.55,34.8,3.38,0
5003751,41.77,3.01,0.35,50.56,4.3,0
5003801,49.03,3.88,1.09,45.68,0.31,0
5003900,45.13,6.26,1.15,47.47,0,0
5004007,51.6,3.4,2.03,42.54,0.43,0
5004106,46.25,1.24,1.08,51.3,0.13,0
5004304,58.76,3.93,1.03,34.02,2.26,0
5004403,52.9,6.21,1.21,39.55,0.13,0
5004502,47.75,2.61,0.97,25.41,23.26,0
5004601,42.41,3.66,0.6,53.06,0.28,0
5004700,50.76,3.26,1.59,44.34,0.05,0
5004809,20.32,2.49,0.15,27.47,49.56,0
5004908,38.26,9.55,0.73,50.41,1.06,0
5005004,45.05,2.7,0.39,51.59,0.27,0
5005103,32.98,1.55,0.92,64.48,0.08,0
5005152,40.03,2.75,1.23,46.23,9.76,0
5005202,28.37,6.57,0.79,64.12,0.15,0
5005251,47.54,4.49,0.44,33.05,14.47,0
5005400,53.48,4.74,0.97,39.88,0.93,0
5005608,27.8,4.51,0.62,43.91,23.16,0
5005681,47.42,3.83,1.72,46.87,0.15,0
5005707,42.06,4.75,1.1,51.58,0.52,0
5005806,36.71,6.63,0.71,46.47,9.48,0
5006002,44.05,3.53,0.15,51.49,0.78,0
5006200,47.04,6.97,1.88,44.05,0.06,0
5006259,45.37,2.41,1.69,50.53,0,0
5006309,61.7,5.07,0.54,32.62,0.07,0
5006358,29.8,1.91,0.03,32.5,35.75,0
5006408,38.16,3.81,0.14,57.88,0,0
5006606,49.87,2.02,0.78,47.2,0.13,0
5006903,37.85,1.67,0.91,50.51,9.07,0
5007109,40.03,8.48,0.57,50.45,0.47,0
5007208,49.18,3.28,0.64,46.5,0.4,0
5007307,43.04,4.46,1.7,50.68,0.11,0
5007406,39.59,5.22,0.36,54.49,0.34,0
5007505,40.36,6.32,0.81,51.98,0.53,0
5007554,41.81,4.82,0.66,52.33,0.38,0
5007695,57.12,4.52,0.77,37.29,0.3,0
5007703,51.9,3.72,0,42.98,1.39,0
5007802,44.64,5.19,0.59,49.44,0.13,0
5007901,42.9,5.76,1.69,44.63,5.01,0
